rank,Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,team,bowler_surname,year,season,bowler,overall_key_count,home_key_count,away_key_count,team_position,Team Name
13,M Morkel (KKR),12,12,288,48.0,1,367,12,2/20,2/20,30.58,7.64,24.00,,KKR,Morkel,2014,2014,Morne Morkel,5.0,3.0,2.0,2.0,Kolkata Knight Riders
14,Karanveer Singh (KXIP),5,5,120,20.0,-,164,11,4/54,4/54,14.90,8.20,10.90,,KXIP,Singh,2014,2014,Harbhajan Singh,6.0,3.0,3.0,1.0,Kings XI Punjab
15,Shakib Al Hasan (KKR),13,13,300,50.0,1,334,11,2/22,2/22,30.36,6.68,27.27,,KKR,Hasan,2014,2014,,,,,2.0,Kolkata Knight Riders
1,DJ Bravo (CSK),18,18,375,62.3,-,497,32,4/42,4/42,15.53,7.95,11.71,1,CSK,Bravo,2013,2013,Dwayne Bravo,12.0,8.0,4.0,1.0,Chennai Super Kings
2,JP Faulkner (RR),16,16,379,63.1,2,427,28,5/16,5/16,15.25,6.75,13.53,-,RR,Faulkner,2013,2013,James Faulkner,9.0,3.0,6.0,3.0,Rajasthan Royals
3,Harbhajan Singh (MI),19,19,420,70.0,-,456,24,3/14,3/14,19.00,6.51,17.50,-,MI,Singh,2013,2013,Harbhajan Singh,7.0,4.0,3.0,2.0,Mumbai Indians
4,MG Johnson (MI),17,17,384,64.0,-,459,24,3/27,3/27,19.12,7.17,16.00,-,MI,Johnson,2013,2013,Mitchell Johnson,11.0,7.0,4.0,2.0,Mumbai Indians
5,SP Narine (KKR),16,16,384,64.0,1,350,22,4/13,4/13,15.90,5.46,17.45,2,KKR,Narine,2013,2013,Sunil Narine,9.0,5.0,4.0,7.0,Kolkata Knight Riders
6,A Mishra (SRH),17,17,372,62.0,1,394,21,4/19,4/19,18.76,6.35,17.71,1,SRH,Mishra,2013,2013,Amit Mishra,8.0,5.0,3.0,4.0,Sunrisers Hyderabad
7,MM Sharma (CSK),15,15,304,50.4,-,326,20,3/10,3/10,16.30,6.43,15.20,-,CSK,Sharma,2013,2013,Mohit Sharma,8.0,3.0,5.0,1.0,Chennai Super Kings
